Actual,Predicted,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
The Administration of Union Territory Daman and Diu has revoked its order that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on August 7. The administration was forced to withdraw the decision within 24 hours of issuing the circular after it received flak from employees and was slammed on social media.,The Union Territory of Daman and Diu has revoked a decision that made it compulsory for women to tie rakhis to their male colleagues on the occasion of Rakshabandhan on the occasion of Rakshabandhan.,0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"Malaika Arora slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"". ""Her life now is all about wearing short clothes, going to gym or salon, enjoying vacation[s],"" the user commented. Malaika responded, ""You certainly got to get your damn facts right before spewing sh*t on me...when you know nothing about me.""","Malaika Arora has slammed an Instagram user who trolled her for ""divorcing a rich man"" and ""having fun with the alimony"" after he trolled her for ""divorcing a rich man"".",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"The Indira Gandhi Institute of Medical Sciences (IGIMS) in Patna on Thursday made corrections in its Marital Declaration Form by changing 'Virgin' option to 'Unmarried'. Earlier, Bihar Health Minister defined virgin as being an unmarried woman and did not consider the term objectionable. The institute, however, faced strong backlash for asking new recruits to declare their virginity in the form.",A medical institute in the Indian state of Bihar has changed its Marital Declaration Form to 'Unmarried' after a public outcry over a change in the wording of a Marital Declaration Form for new recruits.,0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"Lashkar-e-Taiba's Kashmir commander Abu Dujana, who was killed by security forces, said ""Kabhi hum aage, kabhi aap, aaj aapne pakad liya, mubarak ho aapko (Today you caught me. Congratulations)"" after being caught. He added that he won't surrender, and whatever is in his fate will happen to him. ""Hum nikley they shaheed hone (had left home for martyrdom),"" he added.","Pakistani security forces have killed a Kashmiri militant who was captured by security forces in the north-eastern city of Jammu and Kashmir, the Pakistani state news agency AP reports, adding that he will not surrender to the militants.",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"Hotels in Maharashtra will train their staff to spot signs of sex trafficking, including frequent requests for bed linen changes and 'Do not disturb' signs left on room doors for days. A mobile phone app called Rescue Me, which will allow staff to alert police of suspicious behaviour, will be developed. The initiative has been backed by the Maharashtra government.","Hotels in India are to train staff to spot signs of sex trafficking, including requests for bed linen changes and 'Do not disturb' signs left on room doors for days, a government-backed initiative has been announced by a senior official.",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
A 32-year-old man on Wednesday was found hanging inside the washroom of a Delhi police station after he was called for interrogation. His family alleged that he could have been emotionally and physically tortured. Police said the man was named as a suspect in the kidnapping case of a married woman with whom he had been in a relationship earlier.,"A man has been hanged in a Delhi police station after he was arrested in connection with the kidnapping of a married woman, his family said on Wednesday, adding that he was a suspect in the kidnapping case.",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"The Delhi High Court reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties. A compensation of ?10 lakh was earlier awarded to the victim. The court observed, ""It's possible despite the vehicle being driven in permissible limit, an accident can occur when a jaywalker suddenly appears on road."" ","A court in Delhi has reduced the compensation awarded to a motor accident victim by 45% after it found negligence on the part of both parties, the court has said, in a case involving a jaywalking vehicle in a city.",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"A 60-year old Dalit woman was allegedly lynched in Agra after villagers thought that she was behind the recent cases of chopping hair of sleeping women. The family members of the woman who left home around 4 am on Wednesday said, ""She pleaded that she had lost her way but they took her as one responsible for chopping women hair.""","A woman has been allegedly lynched in Agra after villagers thought she was behind the recent cases of chopping women's hair, a police spokesman said on Wednesday.&nbsp;--",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"An inquiry by the Aircraft Accident Investigation Bureau found that the Pawan Hans helicopter was flying at a critically low height, resulting in its crash near Bombay High in 2015. The report further mentioned that the instructor, despite being aware of the low height, didn't take control of the helicopter after the trainee pilot wasn?t able to manage the situation. ","An investigation has been launched into the crash of a helicopter near Bombay High in the Indian state of Maharashtra, where a trainee pilot failed to take control of the helicopter after the instructor failed to take control of the helicopter, a report said.",0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
"The Congress party has opened a bank called 'State Bank of Tomato' in Uttar Pradesh's Lucknow, in a protest against the rising prices of the vegetable. People can get interests on deposits and also get vegetables on loan in the bank. ""I have deposited 0.5 Kg tomatoes, will get 1 kg after 6 months,"" said a man.",India's Congress party has opened a bank in Uttar Pradesh to sell tomatoes and other vegetables in exchange for a share in a government-owned company.'s official website - http://www.statebankoftomato.com/,0.49845118143424205,0.3200797356030736,0.4156975168477487,0.414580782462599
